ObesityRate,ratio 1-ethnic,ratio 2-education,Population Density: Persons per square kilometre; measures: Value,ratio 3-work time,ratio 4-unemployment,Average Income of Tax Payers,Take away food shops and mobile food stands units,VIOLENCE AGAINST THE PERSON
28.5,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,125,5058
20.7,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,165,5651
22.7,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,125,3303
24.3,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,160,7002
16,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,170,5282
21.3,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,210,5738
24.5,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,260,8318
23.8,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,175,7336
25.2,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,170,5702
27.7,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,135,6403
27,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,155,6829
21.3,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,105,4362
23.8,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,140,6316
20.2,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,115,3578
21.8,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,165,4214
21.1,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,180,6131
24.1,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,130,5915
22.8,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,185,5716
18.6,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,80,3398
16.9,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,100,2476
23,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,165,8331
23.6,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,170,6917
19.2,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,110,3222
27.6,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,180,8015
23.3,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,155,5010
12.6,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,85,2304
27.6,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,180,7241
18.4,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,120,3115
27.1,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,210,7224
26.3,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,150,5737
19.3,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,160,5630
24.9,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,315,7866
29.6,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,130,5259
19,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,180,6050
24.5,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,135,3774
28.3,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,170,7644
17.4,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,180,5359
23.1,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,210,6000
23.1,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,245,8639
23.5,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,175,7768
25.3,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,160,6215
28,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,135,7049
27,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,170,7110
22.9,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,105,4629
22.4,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,135,6997
20.6,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,125,3738
22.9,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,150,5039
22.6,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,175,6425
24.4,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,135,6083
24.9,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,185,6064
19.2,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,85,3415
15.3,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,100,2594
24.6,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,160,8447
23.4,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,160,7188
21.6,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,115,3304
26.5,0.174634647,0.402391246,9690.1,0.100474166,0.487474274,36100,190,8140
23.6,0.08410983,0.424333828,5501.9,0.106349027,0.40389481,42700,155,5417
13.9,0.018880872,0.603777096,3401.9,0.180884539,0.216375774,90400,90,2489
28,0.251264465,0.548591373,10659,0.151544193,0.350518007,57800,190,7685
18,0.059460207,0.39774353,4781,0.104465297,0.268373675,45200,115,3093
26.5,0.073131038,0.503390896,15702.9,0.153675865,0.474043758,55500,220,7556
25.5,0.149579065,0.431673133,7173.3,0.106211397,0.374208532,40100,150,6177
20.9,0.100950822,0.626360772,9560,0.188130769,0.300760383,79700,170,5537
26.4,0.080573454,0.57676075,9514.2,0.247960528,0.396262793,133000,315,8368
30,0.213856564,0.332564638,6065.8,0.086808052,0.420453869,31800,135,5280
18.6,0.078724727,0.490189233,4488.7,0.132724587,0.333717598,59100,180,6251
21.6,0.122020489,0.315776842,4070.7,0.09970759,0.259853039,38000,125,4092
28.1,0.175077467,0.399784839,7859.6,0.111623198,0.414994831,44100,155,8154
15.2,0.076211169,0.428189884,2197.7,0.128761056,0.224054542,54500,175,5893
21.9,0.089903681,0.572944595,9640.9,0.195618031,0.36245474,119000,225,6500
23.5,0.226351593,0.410255254,4516,0.101322563,0.316321049,40900,245,8595
24,0.107570904,0.4434457,6611.6,0.117639665,0.389945573,46800,160,7835
25.6,0.183378032,0.36305418,4082.5,0.09648696,0.380636792,42800,165,6414
25,0.209648349,0.456700385,6108.6,0.126496289,0.341699976,48900,140,7305
25.3,0.210864876,0.523822254,13593.3,0.136840146,0.420394369,52500,175,7523
21.5,0.122589487,0.575860463,11161.1,0.192470411,0.329889978,83600,115,4729
23.7,0.175849045,0.482731481,8930.2,0.118707258,0.371832884,57100,130,7435
19.7,0.073317892,0.449942754,5175.4,0.118492926,0.362042467,46500,120,3959
22.6,0.082300459,0.295241501,2332.3,0.104783581,0.259073091,40000,155,4960
21.8,0.078308113,0.374833594,2644,0.101482462,0.347400402,41600,185,6537
23,0.072211561,0.415758196,5148,0.102824207,0.366862852,45400,135,6568
23.6,0.132706958,0.566232451,14574.9,0.179116291,0.351928455,76600,185,6126
20.8,0.078668927,0.594902875,11816.5,0.269009217,0.347052135,208000,80,3802
14.8,0.028209324,0.513649181,4512.1,0.127240101,0.268225665,56500,100,2862
24.4,0.239713521,0.562613174,11839.1,0.149230382,0.337265602,56100,175,8544
24.3,0.267749781,0.49838703,8551.5,0.112451192,0.330280626,44800,175,7445
21.7,0.106358655,0.500153382,5721.6,0.134734306,0.298532294,63000,110,3561
