Year,geography,geography code,Obesity rate£¨inclduing serverely obese),Ethnic group: Total: All usual residents,"Ethnic group: Black, Black British, Black Welsh, Caribbean or African",ratio 1-ethnic,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: Level 4 qualifications and above,ratio 2-education,Population Density: Persons per square kilometre; measures: Value,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Full-time: 49 or more hours worked,ratio 3-work time,Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census,Unemployment history: Not in employment: Never worked,ratio 4-unemployment,Average Income of Tax Payers,Take away food shops and mobile food stands units,VIOLENCE AGAINST THE PERSON
2015-2016,Hackney,E09000012,27,259147,54645,0.210864876,209468,109724,0.523822254,13593.3,134310,18379,0.136840146,75158,31596,0.420394369,52500,155,6829
2015-2016,Hammersmith and Fulham,E09000013,21.3,183156,22453,0.122589487,154626,89043,0.575860463,11161.1,98093,18880,0.192470411,56534,18650,0.329889978,83600,105,4362
2015-2016,Haringey,E09000014,23.8,264238,46466,0.175849045,216000,104270,0.482731481,8930.2,134381,15952,0.118707258,81620,30349,0.371832884,57100,140,6316
2015-2016,Harrow,E09000015,20.2,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,115,3578
2015-2016,Havering,E09000016,21.8,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,165,4214
2015-2016,Hillingdon,E09000017,21.1,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,180,6131
2015-2016,Hounslow,E09000018,24.1,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,130,5915
2015-2016,Islington,E09000019,22.8,216590,28743,0.132706958,183626,103975,0.566232451,14574.9,114970,20593,0.179116291,68656,24162,0.351928455,76600,185,5716
2015-2016,Kensington and Chelsea,E09000020,18.6,143373,11279,0.078668927,123089,73226,0.594902875,11816.5,69440,18680,0.269009217,53649,18619,0.347052135,208000,80,3398
2015-2016,Kingston upon Thames,E09000021,16.9,168065,4741,0.028209324,135466,69582,0.513649181,4512.1,84148,10707,0.127240101,51315,13764,0.268225665,56500,100,2476
2015-2016,Lambeth,E09000022,23,317650,76145,0.239713521,268945,151312,0.562613174,11839.1,182818,27282,0.149230382,86125,29047,0.337265602,56100,165,8331
2015-2016,Lewisham,E09000023,23.6,300553,80473,0.267749781,242410,120814,0.49838703,8551.5,155712,17510,0.112451192,86699,28635,0.330280626,44800,170,6917
2015-2016,Merton,E09000024,19.2,215187,22887,0.106358655,172771,86412,0.500153382,5721.6,112065,15099,0.134734306,60707,18123,0.298532294,63000,110,3222
2015-2016,Newham,E09000025,27.6,351030,61302,0.174634647,276174,111130,0.402391246,9690.1,163445,16422,0.100474166,112728,54952,0.487474274,36100,180,8015
2015-2016,Redbridge,E09000026,23.3,310261,26096,0.08410983,242017,102696,0.424333828,5501.9,141628,15062,0.106349027,100390,40547,0.40389481,42700,155,5010
2015-2016,Richmond upon Thames,E09000027,12.6,195277,3687,0.018880872,155834,94089,0.603777096,3401.9,97565,17648,0.180884539,58269,12608,0.216375774,90400,85,2304
2015-2016,Southwark,E09000028,27.6,307640,77299,0.251264465,256136,140514,0.548591373,10659,166948,25300,0.151544193,89188,31262,0.350518007,57800,180,7241
